         25855683 function calls (25855493 primitive calls) in 11.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.004    0.001 dataclasses.py:809(_process_class)
      338    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 enum.py:179(__new__)
       40    0.000    0.000    0.000    0.000 dataclasses.py:671(_get_field)
       27    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF812BD4C60}
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     10/5    0.000    0.000    0.001    0.000 inspect.py:2246(_signature_from_callable)
     31/9    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        5    0.000    0.000    0.000    0.000 inspect.py:2152(_signature_from_function)
       15    0.000    0.000    0.002    0.000 dataclasses.py:377(_create_fn)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        7    0.000    0.000    0.000    0.000 spell.py:460(from_json_string)
      211    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     13/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:1002(_find_and_load)
        7    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       17    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       87    0.000    0.000    0.000    0.000 typing.py:713(__setattr__)
        5    0.000    0.000    0.000    0.000 inspect.py:3065(__str__)
      410    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      346    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       34    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
       10    0.000    0.000    0.000    0.000 inspect.py:2781(__init__)
       13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      122    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       45    0.000    0.000    0.000    0.000 inspect.py:2498(__init__)
     10/3    0.000    0.000    0.014    0.005 <frozen importlib._bootstrap_external>:844(exec_module)
      152    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       40    0.000    0.000    0.000    0.000 inspect.py:2582(__str__)
       14    0.000    0.000    0.000    0.000 typing.py:739(__init__)
      128    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     16/9    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
      317    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        9    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
        7    0.000    0.000    0.005    0.001 spell.py:481(from_file)
    37/15    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.001    0.000 re.py:289(_compile)
        5    0.000    0.000    0.001    0.000 dataclasses.py:489(_init_fn)
     13/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
    79/70    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       43    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
       87    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
       35    0.000    0.000    0.000    0.000 spell.py:344(set_base_damages)
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      153    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       20    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
        8    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
       45    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
    27/25    0.000    0.000    0.000    0.000 typing.py:786(__repr__)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    46/42    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
       40    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        9    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        7    0.000    0.000    0.000    0.000 spell.py:450(check_json_validity)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       45    0.000    0.000    0.001    0.000 typing.py:271(inner)
       50    0.000    0.000    0.000    0.000 inspect.py:2830(<genexpr>)
       40    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
     13/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        9    0.000    0.000    0.000    0.000 typing.py:832(__getitem__)
        9    0.000    0.000    0.001    0.000 sre_parse.py:939(parse)
       40    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       86    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       50    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.005    0.005 spell_chain.py:150(<listcomp>)
       34    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 spell_chain.py:11(ComputationData)
        7    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        5    0.000    0.000    0.000    0.000 inspect.py:1840(_signature_bound_method)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       40    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        1    0.000    0.000    0.000    0.000 spell.py:41(SpellParameters)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
       29    0.000    0.000    0.000    0.000 spell_chain.py:28(add_spell)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
       17    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:8(DamageParameters)
       10    0.000    0.000    0.000    0.000 inspect.py:514(_is_wrapper)
       81    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       15    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
       67    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       14    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
        5    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
     11/8    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 spell_set.py:28(get_spell_list_single_target)
       40    0.000    0.000    0.000    0.000 dataclasses.py:470(_init_param)
        1    0.000    0.000    0.003    0.003 spell.py:1(<module>)
     17/5    0.000    0.000    0.013    0.003 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
