         4594132 function calls (4593936 primitive calls) in 2.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 inspect.py:2781(__init__)
       17    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        7    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        6    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       45    0.000    0.000    0.000    0.000 inspect.py:2498(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      426    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      352    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       34    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
      128    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    37/15    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
     16/9    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        7    0.000    0.000    0.000    0.000 spell.py:458(from_json_string)
        9    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       40    0.000    0.000    0.000    0.000 inspect.py:2582(__str__)
       81    0.000    0.000    0.000    0.000 typing.py:713(__setattr__)
        5    0.000    0.000    0.000    0.000 inspect.py:3065(__str__)
       13    0.000    0.000    0.000    0.000 typing.py:739(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       16    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      122    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      152    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
     14/4    0.000    0.000    0.018    0.005 <frozen importlib._bootstrap>:659(_load_unlocked)
       17    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
       28    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.001    0.000 re.py:289(_compile)
       27    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFF4DB4C60}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
     14/4    0.000    0.000    0.019    0.005 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       81    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
       43    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
        5    0.000    0.000    0.001    0.000 dataclasses.py:489(_init_fn)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
       35    0.000    0.000    0.000    0.000 spell.py:343(set_base_damages)
      334    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        9    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
       71    0.000    0.000    0.000    0.000 enum.py:358(__call__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        7    0.000    0.000    0.001    0.000 spell.py:479(from_file)
       40    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       45    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
    79/70    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        9    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
