         6448772 function calls (6448576 primitive calls) in 3.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/5    0.000    0.000    0.001    0.000 inspect.py:2246(_signature_from_callable)
       27    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF812D74C60}
      128    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       17    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        5    0.000    0.000    0.000    0.000 inspect.py:2152(_signature_from_function)
       40    0.000    0.000    0.000    0.000 inspect.py:2582(__str__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       34    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
      426    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      352    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       14    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       10    0.000    0.000    0.000    0.000 inspect.py:2781(__init__)
       81    0.000    0.000    0.000    0.000 typing.py:713(__setattr__)
        7    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       10    0.000    0.000    0.001    0.000 re.py:289(_compile)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        7    0.000    0.000    0.000    0.000 spell.py:460(from_json_string)
       45    0.000    0.000    0.000    0.000 inspect.py:2498(__init__)
        5    0.000    0.000    0.000    0.000 inspect.py:3065(__str__)
    37/15    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
    43/39    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
       28    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      152    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        5    0.000    0.000    0.001    0.000 dataclasses.py:489(_init_fn)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
     14/4    0.000    0.000    0.014    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
